PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	Country	Year	id
3.11445223380393	0.224637463067358	0.945629426266889	1.85340215210849	-0.869365395403509	-0.226184479669568	-2.53977194401349	-0.112047712603462	1.51084486689475	2.71045975181016	Kenya	2014	PC0167-C
1.58134236312706	-1.78183606816766	-1.69814861926441	-3.53737467836339	-2.4801708053163	-2.17830164312968	-0.54316317039895	0.627947018327458	-0.416576802532951	0.264575345917516	Kenya	2014	PC0169-C
1.58081898300322	-1.81051900364875	-1.88370235361027	-3.52726568366164	-2.58567915109609	-2.01491268886197	-0.410257710576143	0.595441750568047	-0.309665226423297	0.242823661750151	Kenya	2014	PC0170-C
2.58117707815648	-1.40815132697987	-0.222534574836233	-1.46609775001094	-0.513165112765559	-0.867287130308019	-0.855012900375549	0.0425125460108368	0.816953479240196	-0.438138669447489	Kenya	2014	PC0172-C
5.4634400251357	3.8146893827346	2.546493079271	2.33550238785085	2.12091599330956	-0.606359702647669	1.97948743941759	-0.951625151879056	-0.562930449216519	-0.987590503831539	Kenya	2014	PC0173-C
2.55280487236995	-2.60233622175007	0.276663527738118	-0.366685240795372	-0.327566684577686	-1.17648089848623	0.117586433609726	-1.14671635005384	-2.42563083500446	-1.06906395792237	Kenya	2014	PC0174-C
1.41253602338379	-3.87019196813199	0.749140323337051	-1.86840013644871	-1.00444922318196	-0.610594755197571	-2.64093130449839	-0.309136908193108	-0.210156535095736	1.86999956348642	Kenya	2014	PC0178-C
2.99590307721537	-2.9987426061417	0.064424206721922	-1.84688065286133	-0.502951350949242	-0.0713002668116275	-1.09138188443826	1.59968243297742	-1.14158344513655	0.820708988579336	Kenya	2014	PC0180-C
3.03444152316119	-1.41413009641115	1.86021345862985	0.516878136741386	0.720362993945834	0.43657615044482	-0.609127454703384	-2.25021140730922	3.99065276113335	-2.95459794385906	Kenya	2014	PC0183-C
3.13580408171936	-2.30766408140395	0.391049652955853	1.04011909918706	-2.15444752517726	1.23541523354077	-3.21532250099583	1.4366476306908	1.84593805355931	1.32062270308254	Kenya	2014	PC0184-C
1.14415050457317	-2.30387449772977	-1.96640883771586	-2.51321515785625	-2.38453042930471	-1.89913784737363	1.163561152343	0.856623984988058	-0.619398064429442	1.57795613848411	Kenya	2014	PC0186-C
2.6437942657321	0.847164857897365	-0.317467681239104	0.0463541836677747	0.563318901326353	0.10322237405953	0.757940326187931	-0.510968755248106	-0.171965159879066	-0.582508073301606	Kenya	2014	PC0187-C
3.36136663496111	0.761416677154976	1.98515570799184	0.885830463343203	-0.519875587837314	0.394715323608811	0.0934495194825914	-0.274612443582046	0.634312735501988	0.575763105123557	Kenya	2014	PC0188-C
2.73120993245664	-0.98806449440929	0.586996777035313	0.0178750101942057	-0.259476361170814	-0.699483085893311	0.363669304130835	-0.910429096361348	-0.460176284935403	-0.0133470972085939	Kenya	2014	PC0189-C
1.96188159985829	-2.63549462013615	-1.37920295855958	-0.567236535284253	-0.260045641135357	-1.99355070163424	1.08998903623249	-2.71130705765352	0.959850088999382	-0.585261044810797	Kenya	2014	PC0191-C
1.92404972010357	-2.57686226211302	2.19606737600344	-0.460241737570973	-1.29810805460541	-0.261666346480678	-0.947732536278356	-0.440309171482413	-2.44158482572634	-1.71271688398279	Kenya	2014	PC0193-C
2.42725298827098	-3.8317235057447	-1.68107638993686	-2.21881354151372	-2.93297241842091	-1.75134076984603	-1.211128858937	0.824964215443372	-0.616692775499698	4.00264565384132	Kenya	2014	PC0197-C
1.86553884421137	-0.882179975176199	2.20895169206393	0.890463174273905	0.407614601882178	-0.0946777933655096	-0.915135909294174	-3.20723296372467	3.15267714868088	-2.36741573404513	Kenya	2014	PC0198-C
2.9574111160159	-2.73180288921371	-0.565906479233058	1.53255537990211	-0.31399209179515	-1.59020818894395	-1.3294675000549	-1.16434466230522	-1.05971741834152	-1.28775953878902	Kenya	2014	PC0199-C
2.51910686719006	3.03877995346364	-0.539250462026556	-0.47393937191776	0.434368483573526	0.739062525848934	1.69025566797282	-0.152262834918479	2.46818013828787	0.0904757782975734	Kenya	2014	PC0200-C
2.39670484150097	-1.56057168715697	0.596526398139478	0.809993410312951	-0.609913082401597	-1.10795590730611	-1.05999186773376	-0.49341139107093	-0.982838319542705	0.449495906506451	Kenya	2014	PC0201-C
3.13390540721159	0.808805689299258	-0.780912022686019	-0.0976136904630182	-0.233161389265449	-0.581984279620962	0.962659349547374	-0.149914187929425	-0.404776926963612	-1.15462757863731	Kenya	2014	PC0202-C
1.3782071079629	-3.64877953239296	1.18715653816929	-1.81443351519444	0.0661364849335113	-1.33817325501167	-1.27341326719181	-2.62691157177957	0.148780069563135	-1.38819992331497	Kenya	2014	PC0206-C
2.22898581421387	2.96214713028428	-2.16150990250342	-0.854137045623536	-2.45140587271795	-2.96203945380481	1.70372623047818	-0.0458812104366179	-1.69063291244177	1.87776103908189	Kenya	2014	PC0208-C
2.95370077015324	-1.61457557117959	-1.02989224318671	-3.61284476338027	-0.818435315119714	-0.908333351761476	0.732160910264638	0.357400589544619	-0.924207720345764	-3.23890155784856	Kenya	2014	PC0209-C
2.45174505099225	-0.483876990790824	0.347379556203538	1.48385948158683	-0.754547731409624	-0.465643354501947	-0.518504537248409	-1.27058099813511	-0.711309418356065	1.59691647229231	Kenya	2014	PC0213-C
2.11465134193731	-1.63622397141943	1.06649678262572	-1.91940482360711	1.13153455651978	0.974126830942439	-0.437785491164433	-1.75627550480949	1.20479468801601	-0.851718701919321	Kenya	2014	PC0220-C
